embed,embed_type,norm,train_n,test_n,p,r2_mean,r2_sd,check
SVD_SWOW,behavior,frequency_lund,9068,2268,300,0.5173356239443271,0.0253796758718024,pass
SVD_SWOW,behavior,frequency_kucera,7806,1952,300,0.4783603462948367,0.0428185619736036,pass
SVD_SWOW,behavior,frequency_subtlexus,9180,2296,300,0.4981079071338503,0.0348585060938728,pass
SVD_SWOW,behavior,frequency_subtlexuk,9163,2291,300,0.4527317576826986,0.0364194602794487,pass
SVD_SWOW,behavior,frequency_blog_gimenes,9204,2301,300,0.5278386419286173,0.0317240991811064,pass
SVD_SWOW,behavior,frequency_twitter_gimenes,9204,2301,300,0.5059493877150553,0.0280244900520016,pass
SVD_SWOW,behavior,frequency_news_gimenes,9204,2301,300,0.5093965868665198,0.0247065074671982,pass
SVD_SWOW,behavior,frequency_written_cobuild,8916,2229,300,0.3972552136219013,0.0374653430953412,pass
SVD_SWOW,behavior,frequency_spoken_cobuild,8916,2229,300,0.4479933885809923,0.0363188169342464,pass
SVD_SWOW,behavior,context_diversity_subtlexus,9180,2296,300,0.4822445538001053,0.023252181088604,pass
SVD_SWOW,behavior,context_diversity_subtlexuk,9163,2291,300,0.4475166499235065,0.0273668668526375,pass
SVD_SWOW,behavior,context_diversity_blog_gimenes,9204,2301,300,0.5333540305245703,0.0299945434941757,pass
SVD_SWOW,behavior,context_diversity_twitter_gimenes,9204,2301,300,0.5069052163520379,0.0278175087388209,pass
SVD_SWOW,behavior,context_diversity_news_gimenes,9204,2301,300,0.5124155640662135,0.0237236267510727,pass
SVD_SWOW,behavior,familiarity_glasgow,3252,813,300,0.3399022372030392,0.0304174740213548,pass
SVD_SWOW,behavior,familiarity_brysbaert,8594,2149,300,0.0418027832395335,0.0126258708736579,pass
SVD_SWOW,behavior,prevalence_brysbaert,8705,2177,300,0.1439760711562696,0.0128206126012525,pass
SVD_SWOW,behavior,aoa_kuperman,8033,2009,300,0.4766382705196276,0.0201807707815493,pass
SVD_SWOW,behavior,aoa_brysbaert,7298,1825,300,0.4977578650088556,0.0222184911670022,pass
SVD_SWOW,behavior,aoa_glasgow,3252,813,300,0.4945191254705069,0.0270502337691726,pass
SVD_SWOW,behavior,frequency_trajectory_brysbaert,6866,1717,300,0.5797073560765345,0.022162286097172,pass
SVD_SWOW,behavior,pos_brysbaert,9119,2280,300,0.4759596106888151,0.0085517812299591,pass
SVD_SWOW,behavior,pos_vanheuven,9110,2278,300,0.4118519655545158,0.0169967838390657,pass
SVD_SWOW,behavior,concreteness_brysbaert,8594,2149,300,0.7514148889810073,0.0075241031326012,pass
SVD_SWOW,behavior,concreteness_glasgow,3252,813,300,0.7475731939080946,0.0098113533129322,pass
SVD_SWOW,behavior,imageability_glasgow,3252,813,300,0.70996396532428,0.0122856339478834,pass
SVD_SWOW,behavior,n_senses_wordnet_miller,8914,2229,300,0.2728853717840238,0.0255148530740958,pass
SVD_SWOW,behavior,n_senses_wordsmyth_rice,381,96,300,0.0954227599346414,0.0251379168951279,pass
SVD_SWOW,behavior,n_meanings_wordsmyth_rice,381,96,300,-0.0394815268509442,0.0369444100288491,pass
SVD_SWOW,behavior,n_meanings_websters_gao,7573,1894,300,0.1813265548089854,0.0200251671460168,pass
SVD_SWOW,behavior,n_features_buchanan,3354,839,300,0.131701388786317,0.0225775239529233,pass
SVD_SWOW,behavior,visual_lancaster,8590,2148,300,0.5118910851991736,0.0131284432674704,pass
SVD_SWOW,behavior,auditory_lancaster,8590,2148,300,0.6168877774845234,0.0184502108570551,pass
SVD_SWOW,behavior,haptic_lancaster,8590,2148,300,0.6366486281790763,0.0098210613143768,pass
SVD_SWOW,behavior,olfactory_lancaster,8590,2148,300,0.6528686006448619,0.0270527641905982,pass
SVD_SWOW,behavior,gustatory_lancaster,8590,2148,300,0.7559416135284329,0.0309458300098894,pass
SVD_SWOW,behavior,interoceptive_lancaster,8590,2148,300,0.6854766771137589,0.0136874063820828,pass
SVD_SWOW,behavior,head_lancaster,8590,2148,300,0.422462273907549,0.0181630726203223,pass
SVD_SWOW,behavior,torso_lancaster,8590,2148,300,0.5258788359081572,0.0226612411349408,pass
SVD_SWOW,behavior,mouth_throat_lancaster,8590,2148,300,0.6316368349555235,0.0198073490893197,pass
SVD_SWOW,behavior,hand_arm_lancaster,8590,2148,300,0.5610146414145712,0.0185812142905037,pass
SVD_SWOW,behavior,foot_leg_lancaster,8590,2148,300,0.5945564630178353,0.0274060185159323,pass
SVD_SWOW,behavior,body_object_interact_pexman,4572,1144,300,0.5282946484493891,0.0188632492521582,pass
SVD_SWOW,behavior,child_body_object_interact,2459,615,300,0.4812012314147945,0.0224056713981203,pass
SVD_SWOW,behavior,semantic_size_glasgow,3252,813,300,0.7208860743749284,0.0211846924237049,pass
SVD_SWOW,behavior,gender_association_glasgow,3252,813,300,0.7428115297822135,0.0163684469264329,pass
SVD_SWOW,behavior,feature_visual_vinson,772,193,300,0.1393838964712489,0.0995621201993652,pass
SVD_SWOW,behavior,feature_perceptual_vinson,772,193,300,0.1290344523664348,0.0885988412484269,pass
SVD_SWOW,behavior,feature_functional_vinson,772,193,300,-0.0272739219636414,0.0332126741215792,pass
SVD_SWOW,behavior,feature_motoric_vinson,772,193,300,0.0086978791379915,0.1375224740251477,pass
SVD_SWOW,behavior,socialness_diveica,4325,1082,300,0.7238234595804596,0.0112274177645586,pass
SVD_SWOW,behavior,valence_warriner,7005,1752,300,0.7582335167922618,0.0153409744170295,pass
SVD_SWOW,behavior,valence_glasgow,3252,813,300,0.8460081309088018,0.0107127753266249,pass
SVD_SWOW,behavior,valence_mohammad,7867,1967,300,0.7351157949178074,0.0269359724594607,pass
SVD_SWOW,behavior,valence_older_kyrolainen,2315,579,300,0.7958179086107768,0.0129420519413096,pass
SVD_SWOW,behavior,valence_younger_kyrolainen,2315,579,300,0.8207435683938623,0.0147453880347341,pass
SVD_SWOW,behavior,arousal_warriner,7005,1752,300,0.498143410024203,0.0054888728776161,pass
SVD_SWOW,behavior,arousal_glasgow,3252,813,300,0.6772437216276106,0.0211994893381162,pass
SVD_SWOW,behavior,arousal_mohammad,7867,1967,300,0.6191549523025616,0.0164533436605933,pass
SVD_SWOW,behavior,dominance_warriner,7005,1752,300,0.5742453575203023,0.0252263127885809,pass
SVD_SWOW,behavior,dominance_glasgow,3252,813,300,0.6767098429416689,0.020344385869561,pass
SVD_SWOW,behavior,dominance_mohammad,7867,1967,300,0.6448129360550645,0.0189616339286798,pass
SVD_SWOW,behavior,humor_engelthaler,3000,750,300,0.5066386789145721,0.031277760058061,pass
SVD_SWOW,behavior,anger_mohammad,6111,1528,300,0.4177653005832608,0.0335737952366376,pass
SVD_SWOW,behavior,anticipation_mohammad,6111,1528,300,0.170163504852621,0.0354548865664683,pass
SVD_SWOW,behavior,disgust_mohammad,6111,1528,300,0.398169310706914,0.0318498645398471,pass
SVD_SWOW,behavior,fear_mohammad,6111,1528,300,0.3717274153297019,0.0373815790805525,pass
SVD_SWOW,behavior,joy_mohammad,6111,1528,300,0.4040473460539909,0.045720248191967,pass
SVD_SWOW,behavior,negative_emotion_mohammad,6111,1528,300,0.5039103934848382,0.0293954674674315,pass
SVD_SWOW,behavior,positive_emotion_mohammad,6111,1528,300,0.3405557030478074,0.0503829771953042,pass
SVD_SWOW,behavior,sadness_mohammad,6111,1528,300,0.3890663112388491,0.0408438405169815,pass
SVD_SWOW,behavior,surprise_mohammad,6111,1528,300,0.1429869005521478,0.0334568262960013,pass
